ID,year,set,tournament_round,game_round,lightning_round,question_num,type,lightning_lead,q_text,a_text,bonus_q_text,bonus_a_text,geography,woman_mentioned,named_woman
,2014,c,2,4,,4,tossup,,"This organization was formed at the suggestion of Mary White Ovington following the Springfield riot of 1908, and it absorbed many veterans of the Niagara Movement. This organization awards the Spingarn Medals, and its first major effort was publishing The Crisis under the editorship of W.E.B. DuBois. For 10 points, name this organization which led the anti-segregationist movement for much of the twentieth century.",NAACP,,,North America - USA,TRUE,Mary White Ovington
,2014,c,2,4,,5,tossup,,"This man won a Nobel Prize in Literature for his History of the English-Speaking Peoples. This man was First Lord of the Admiralty during the Gallipoli disaster, though his ""wilderness years"" eventually ended and allowed him to make the ""we shall fight them on the beaches"" speech. He was defeated in his first re-election bid by Clement Attlee. For 10 points, name this leader of the national unity government of the U.K. during World War II.  ",Winston Churchill,,,Europe - UK,FALSE,
,2014,c,2,4,,6,tossup,,"Members of this organization were represented in the Reichstag by the Centre Party. This organization was targeted by Adalbert von Falk's May Laws, part of the Kulturkampf against it launched by Otto von Bismarck. A leader of this organization who was accused of turning a blind eye to the Holocaust was Pius XII. For 10 points, name this organization which is the predominant Christian denomination in southern Germany.  ",Roman Catholic Church,,,Europe - Germany ,FALSE,
,2014,c,2,4,,7,tossup,,"People who opposed this action wrote under the pen names Cato, Brutus, and the Federal Farmer, and were most likely George Clinton, Robert Yates, and Mercy Otis Warren. This action was supported in a series of letters to the New York Packet written by ""Publius,"" a collective pseudonym for James Madison, John Jay, and Alexander Hamilton. For 10 points, what was this action which was advocated in the Federalist Papers and created the present U.S. government?  ",ratifying the U.S. Constitution,,,North America - USA,TRUE,Mercy Otis Warren
,2014,c,2,4,,8,tossup,,"The first-ever U.S. Cabinet member to serve a prison sentence did so as a result of this scandal. This scandal's investigation by Thomas Walsh led to the Supreme Court case of McGrain v. Daugherty, which held that Congress may require people to testify. It involved land in the Black Hills which Albert Fall, the Secretary of the Interior, leased to oil prospectors at cut rates. For 10 points, identify this defining scandal of the Warren Harding administration. ",Teapot Dome,,,North America - USA,FALSE,
,2014,c,2,extra,,,tossup + bonus,,"This city was the site of a Church council held five years before the Council of Constance which elected Alexander V as Pope in an attempt to end the Western Schism. This city was the loser of the Battle of Meloria, and it was where a man allegedly dropped cannonballs out of a window in order to measure acceleration. For 10 points, name this home to a gravitational experiment by Galileo, who made use of an architectural blunder that created its ""leaning tower.""",Pisa,"What President of Germany, who appointed Hitler Chancellor in 1933, was the namesake of a zeppelin that caught fire above New Jersey in 1937?  ",Paul von Hindenburg,"Europe - Italy, Europe - Germany",FALSE,
,2014,c,3,1,,1,tossup,,,,,,,,
,2014,c,3,1,,2,tossup,,,,,,,,
,2014,c,3,1,,3,tossup,,,,,,,,
,2014,c,3,1,,4,tossup,,,,,,,,
,2014,c,3,1,,5,tossup,,,,,,,,
,2014,c,3,1,,6,tossup,,,,,,,,
,2014,c,3,1,,7,tossup,,,,,,,,
,2014,c,3,1,,8,tossup,,,,,,,,
,2014,c,3,1,,9,tossup,,,,,,,,
,2014,c,3,1,,10,tossup,,,,,,,,
,2014,c,3,2,,1,tossup + bonus,,,,,,,,
,2014,c,3,2,,2,tossup + bonus,,,,,,,,
,2014,c,3,2,,3,tossup + bonus,,,,,,,,
,2014,c,3,2,,4,tossup + bonus,,,,,,,,
,2014,c,3,2,,5,tossup + bonus,,,,,,,,
,2014,c,3,2,,6,tossup + bonus,,,,,,,,
,2014,c,3,2,,7,tossup + bonus,,,,,,,,
,2014,c,3,2,,8,tossup + bonus,,,,,,,,
,2014,c,3,3,1,1,lightning,,,,,,,,
,2014,c,3,3,1,2,lightning,,,,,,,,
,2014,c,3,3,1,3,lightning,,,,,,,,
,2014,c,3,3,1,4,lightning,,,,,,,,
,2014,c,3,3,1,5,lightning,,,,,,,,
,2014,c,3,3,1,6,lightning,,,,,,,,
,2014,c,3,3,1,7,lightning,,,,,,,,
,2014,c,3,3,1,8,lightning,,,,,,,,
,2014,c,3,3,2,1,lightning,,,,,,,,
,2014,c,3,3,2,2,lightning,,,,,,,,
,2014,c,3,3,2,3,lightning,,,,,,,,
,2014,c,3,3,2,4,lightning,,,,,,,,
,2014,c,3,3,2,5,lightning,,,,,,,,
,2014,c,3,3,2,6,lightning,,,,,,,,
,2014,c,3,3,2,7,lightning,,,,,,,,
,2014,c,3,3,2,8,lightning,,,,,,,,
,2014,c,3,3,3,1,lightning,,,,,,,,
,2014,c,3,3,3,2,lightning,,,,,,,,
,2014,c,3,3,3,3,lightning,,,,,,,,
,2014,c,3,3,3,4,lightning,,,,,,,,
,2014,c,3,3,3,5,lightning,,,,,,,,
,2014,c,3,3,3,6,lightning,,,,,,,,
,2014,c,3,3,3,7,lightning,,,,,,,,
,2014,c,3,3,3,8,lightning,,,,,,,,
,2014,c,3,4,,1,tossup,,,,,,,,
,2014,c,3,4,,2,tossup,,,,,,,,
,2014,c,3,4,,3,tossup,,,,,,,,
,2014,c,3,4,,4,tossup,,,,,,,,
,2014,c,3,4,,5,tossup,,,,,,,,
,2014,c,3,4,,6,tossup,,,,,,,,
,2014,c,3,4,,7,tossup,,,,,,,,
,2014,c,3,4,,8,tossup,,,,,,,,
,2014,c,3,extra,,,tossup + bonus,,,,,,,,
,2014,c,4,1,,1,tossup,,,,,,,,
,2014,c,4,1,,2,tossup,,,,,,,,
,2014,c,4,1,,3,tossup,,,,,,,,
,2014,c,4,1,,4,tossup,,,,,,,,
,2014,c,4,1,,5,tossup,,,,,,,,
,2014,c,4,1,,6,tossup,,,,,,,,
,2014,c,4,1,,7,tossup,,,,,,,,
,2014,c,4,1,,8,tossup,,,,,,,,
,2014,c,4,1,,9,tossup,,,,,,,,
,2014,c,4,1,,10,tossup,,,,,,,,
,2014,c,4,2,,1,tossup + bonus,,,,,,,,
,2014,c,4,2,,2,tossup + bonus,,,,,,,,
,2014,c,4,2,,3,tossup + bonus,,,,,,,,
,2014,c,4,2,,4,tossup + bonus,,,,,,,,
,2014,c,4,2,,5,tossup + bonus,,,,,,,,
,2014,c,4,2,,6,tossup + bonus,,,,,,,,
,2014,c,4,2,,7,tossup + bonus,,,,,,,,
,2014,c,4,2,,8,tossup + bonus,,,,,,,,
,2014,c,4,3,1,1,lightning,,,,,,,,
,2014,c,4,3,1,2,lightning,,,,,,,,
,2014,c,4,3,1,3,lightning,,,,,,,,
,2014,c,4,3,1,4,lightning,,,,,,,,
,2014,c,4,3,1,5,lightning,,,,,,,,
,2014,c,4,3,1,6,lightning,,,,,,,,
,2014,c,4,3,1,7,lightning,,,,,,,,
,2014,c,4,3,1,8,lightning,,,,,,,,
,2014,c,4,3,2,1,lightning,,,,,,,,
,2014,c,4,3,2,2,lightning,,,,,,,,
,2014,c,4,3,2,3,lightning,,,,,,,,
,2014,c,4,3,2,4,lightning,,,,,,,,
,2014,c,4,3,2,5,lightning,,,,,,,,
,2014,c,4,3,2,6,lightning,,,,,,,,
,2014,c,4,3,2,7,lightning,,,,,,,,
,2014,c,4,3,2,8,lightning,,,,,,,,
,2014,c,4,3,3,1,lightning,,,,,,,,
,2014,c,4,3,3,2,lightning,,,,,,,,
,2014,c,4,3,3,3,lightning,,,,,,,,
,2014,c,4,3,3,4,lightning,,,,,,,,
,2014,c,4,3,3,5,lightning,,,,,,,,
,2014,c,4,3,3,6,lightning,,,,,,,,
,2014,c,4,3,3,7,lightning,,,,,,,,
,2014,c,4,3,3,8,lightning,,,,,,,,
,2014,c,4,4,,1,tossup,,,,,,,,
,2014,c,4,4,,2,tossup,,,,,,,,
,2014,c,4,4,,3,tossup,,,,,,,,
,2014,c,4,4,,4,tossup,,,,,,,,
,2014,c,4,4,,5,tossup,,,,,,,,
,2014,c,4,4,,6,tossup,,,,,,,,
,2014,c,4,4,,7,tossup,,,,,,,,
,2014,c,4,4,,8,tossup,,,,,,,,
,2014,c,4,extra,,1,tossup + bonus,,,,,,,,
,2014,c,5,1,,1,tossup,,,,,,,,
,2014,c,5,1,,2,tossup,,,,,,,,
,2014,c,5,1,,3,tossup,,,,,,,,
,2014,c,5,1,,4,tossup,,,,,,,,
,2014,c,5,1,,5,tossup,,,,,,,,
,2014,c,5,1,,6,tossup,,,,,,,,
,2014,c,5,1,,7,tossup,,,,,,,,
,2014,c,5,1,,8,tossup,,,,,,,,
,2014,c,5,1,,9,tossup,,,,,,,,
,2014,c,5,1,,10,tossup,,,,,,,,
,2014,c,5,2,,1,tossup + bonus,,,,,,,,
,2014,c,5,2,,2,tossup + bonus,,,,,,,,
,2014,c,5,2,,3,tossup + bonus,,,,,,,,
,2014,c,5,2,,4,tossup + bonus,,,,,,,,
,2014,c,5,2,,5,tossup + bonus,,,,,,,,
,2014,c,5,2,,6,tossup + bonus,,,,,,,,
,2014,c,5,2,,7,tossup + bonus,,,,,,,,
,2014,c,5,2,,8,tossup + bonus,,,,,,,,
,2014,c,5,3,1,1,lightning,,,,,,,,
,2014,c,5,3,1,2,lightning,,,,,,,,
,2014,c,5,3,1,3,lightning,,,,,,,,
,2014,c,5,3,1,4,lightning,,,,,,,,
,2014,c,5,3,1,5,lightning,,,,,,,,
,2014,c,5,3,1,6,lightning,,,,,,,,
,2014,c,5,3,1,7,lightning,,,,,,,,
,2014,c,5,3,1,8,lightning,,,,,,,,
,2014,c,5,3,2,1,lightning,,,,,,,,
,2014,c,5,3,2,2,lightning,,,,,,,,
,2014,c,5,3,2,3,lightning,,,,,,,,
,2014,c,5,3,2,4,lightning,,,,,,,,
,2014,c,5,3,2,5,lightning,,,,,,,,
,2014,c,5,3,2,6,lightning,,,,,,,,
,2014,c,5,3,2,7,lightning,,,,,,,,
,2014,c,5,3,2,8,lightning,,,,,,,,
,2014,c,5,3,3,1,lightning,,,,,,,,
,2014,c,5,3,3,2,lightning,,,,,,,,
,2014,c,5,3,3,3,lightning,,,,,,,,
,2014,c,5,3,3,4,lightning,,,,,,,,
,2014,c,5,3,3,5,lightning,,,,,,,,
,2014,c,5,3,3,6,lightning,,,,,,,,
,2014,c,5,3,3,7,lightning,,,,,,,,
,2014,c,5,3,3,8,lightning,,,,,,,,
,2014,c,5,4,,1,tossup,,,,,,,,
,2014,c,5,4,,2,tossup,,,,,,,,
,2014,c,5,4,,3,tossup,,,,,,,,
,2014,c,5,4,,4,tossup,,,,,,,,
,2014,c,5,4,,5,tossup,,,,,,,,
,2014,c,5,4,,6,tossup,,,,,,,,
,2014,c,5,4,,7,tossup,,,,,,,,
,2014,c,5,4,,8,tossup,,,,,,,,
,2014,c,5,extra,,1,tossup + bonus,,,,,,,,
